
S&P 500 INDEX,Last: 5123.6899,Change:  -33.6701
Date: 2024년 3월 10일 오전 9:02 GMT-4,Bid: 5095.1699,Ask: 5164.6899,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 08 2024,SPXW240308C01400000,3747.86,-11.4399,3716.9,3733.9,1,0,0,0,9,1400.00,SPXW240308P01400000,0,0,0,0.05,0,0,0,0,0
Fri Mar 08 2024,SPXW240308C01600000,3548.14,0,3516.9,3533.9,0,0,0,0,4,1600.00,SPXW240308P01600000,0,0,0,0.05,0,0,0,0,0
Fri Mar 08 2024,SPXW240308C01800000,3280.8,0,3316.9,3333.9,0,0,0,0,2,1800.00,SPXW240308P01800000,0,0,0,0.05,0,0,0,0,0
Fri Mar 08 2024,SPXW240308C02000000,3145,0,3116.9,3133.7,0,0,0,0,3,2000.00,SPXW240308P02000000,0.05,0,0,0.05,0,0,0,0,259
Fri Mar 08 2024,SPXW240308C02200000,0,0,2916.9,2933.7,0,0,0,0,5,2200.00,SPXW240308P02200000,0.05,0,0,0.05,0,0,0,0,46
Fri Mar 08 2024,SPXW240308C02400000,2567.4,0,2716.9,2733.7,0,0,0,0,4,2400.00,SPXW240308P02400000,0.03,0,0,0.05,0,0,0,0,430
Fri Mar 08 2024,SPXW240308C02600000,0,0,2516.9,2533.7,0,0,0,0,0,2600.00,SPXW240308P02600000,0.05,0,0,0.05,0,0,0,0,134
Fri Mar 08 2024,SPXW240308C02800000,2165.1,0,2316.9,2333.7,0,0,0,0,1,2800.00,SPXW240308P02800000,0.05,0,0,0.05,0,0,0,0,64
Fri Mar 08 2024,SPXW240308C03000000,0,0,2116.9,2133.7,0,0,0,0,0,3000.00,SPXW240308P03000000,0.05,0,0,0.05,0,0,0,0,357
Fri Mar 08 2024,SPXW240308C03200000,0,0,1916.9,1933.7,0,0,0,0,0,3200.00,SPXW240308P03200000,0.05,0.025,0,0.05,4,0,0,0,314
Fri Mar 08 2024,SPXW240308C03300000,1850,-10.1,1816.9,1833.7,1,0,0,0,0,3300.00,SPXW240308P03300000,0.05,0,0,0.05,0,0,0,0,494
Fri Mar 08 2024,SPXW240308C03400000,1748.24,0,1716.9,1733.7,0,0,0,0,1,3400.00,SPXW240308P03400000,0.05,0,0,0.05,0,0,0,0,2486
Fri Mar 08 2024,SPXW240308C03500000,0,0,1616.9,1633.7,0,0,0,0,0,3500.00,SPXW240308P03500000,0.05,0,0,0.05,0,0,0,0,3251
Fri Mar 08 2024,SPXW240308C03600000,0,0,1516.9,1532.7,0,0,0,0,0,3600.00,SPXW240308P03600000,0.05,0,0,0.05,0,0,0,0,3872
Fri Mar 08 2024,SPXW240308C03650000,0,0,1466.9,1482.8,0,0,0,0,0,3650.00,SPXW240308P03650000,0.05,0,0,0.05,0,0,0,0,2419
Fri Mar 08 2024,SPXW240308C03700000,0,0,1416.9,1432.8,0,0,0,0,0,3700.00,SPXW240308P03700000,0.05,0,0,0.05,0,0,0,0,1811
Fri Mar 08 2024,SPXW240308C03750000,0,0,1366.9,1382.8,0,0,0,0,0,3750.00,SPXW240308P03750000,0.05,0,0,0.05,0,0,0,0,2860
Fri Mar 08 2024,SPXW240308C03800000,1368,7.6,1316.9,1332.8,1,0,0,0,0,3800.00,SPXW240308P03800000,0.05,0.025,0,0.05,11,0,0,0,3492
